rps3	phylum	phylum_merge	average	type
k141_2572317_1	Alphaproteobacteria	Alphaproteobacteria	0.021640305	low
k141_3727014_2	Alphaproteobacteria	Alphaproteobacteria	0.021464009	low
k141_3814525_8	Alphaproteobacteria	Alphaproteobacteria	0.021048389	low
k141_7305877_1	Alphaproteobacteria	Alphaproteobacteria	0.020719894	low
k141_147913_4	Alphaproteobacteria	Alphaproteobacteria	0.020580048	low
k141_1351114_1	Alphaproteobacteria	Alphaproteobacteria	0.020542389	low
k141_5142419_7	Alphaproteobacteria	Alphaproteobacteria	0.02043714	low
k141_4850086_12	Alphaproteobacteria	Alphaproteobacteria	0.020420057	low
k141_4805559_9	Alphaproteobacteria	Alphaproteobacteria	0.02038396	low
k141_6143827_1	Alphaproteobacteria	Alphaproteobacteria	0.020265531	low
k141_5216064_4	Alphaproteobacteria	Alphaproteobacteria	0.020004769	low
k141_8385878_1	Alphaproteobacteria	Alphaproteobacteria	0.019816169	low
k141_8968353_2	Alphaproteobacteria	Alphaproteobacteria	0.019804078	low
k141_1372951_2	Alphaproteobacteria	Alphaproteobacteria	0.01943775	low
k141_7524783_1	Alphaproteobacteria	Alphaproteobacteria	0.019050029	low
k141_2779545_2	Alphaproteobacteria	Alphaproteobacteria	0.018802846	low
k141_5110457_3	Alphaproteobacteria	Alphaproteobacteria	0.01864213	low
k141_4650037_4	Alphaproteobacteria	Alphaproteobacteria	0.018501991	low
k141_8269342_3	Alphaproteobacteria	Alphaproteobacteria	0.018446077	low
k141_3040211_1	Alphaproteobacteria	Alphaproteobacteria	0.018241049	low
k141_9322798_5	Alphaproteobacteria	Alphaproteobacteria	0.017883273	low
k141_7679616_1	Alphaproteobacteria	Alphaproteobacteria	0.017857454	low
k141_5000238_1	Alphaproteobacteria	Alphaproteobacteria	0.017561745	low
k141_8560834_1	Alphaproteobacteria	Alphaproteobacteria	0.017554854	low
k141_8194612_4	Alphaproteobacteria	Alphaproteobacteria	0.017436439	low
k141_8154721_2	Alphaproteobacteria	Alphaproteobacteria	0.017426426	low
k141_2318040_1	Alphaproteobacteria	Alphaproteobacteria	0.017313198	low
k141_173771_1	Alphaproteobacteria	Alphaproteobacteria	0.017304515	low
k141_1641554_15	Alphaproteobacteria	Alphaproteobacteria	0.017152821	low
k141_6892458_3	Alphaproteobacteria	Alphaproteobacteria	0.016984561	low
k141_1282774_5	Alphaproteobacteria	Alphaproteobacteria	0.01685776	low
k141_1485504_1	Alphaproteobacteria	Alphaproteobacteria	0.016835809	low
k141_10196945_4	Alphaproteobacteria	Alphaproteobacteria	0.016629354	low
k141_6464251_1	Alphaproteobacteria	Alphaproteobacteria	0.016273801	low
k141_36391_1	Alphaproteobacteria	Alphaproteobacteria	0.016247839	low
k141_4552765_5	Alphaproteobacteria	Alphaproteobacteria	0.01621253	low
k141_438482_4	Alphaproteobacteria	Alphaproteobacteria	0.016194828	low
k141_3799747_3	Alphaproteobacteria	Alphaproteobacteria	0.016072265	low
k141_812975_2	Alphaproteobacteria	Alphaproteobacteria	0.015759869	low
k141_5379013_4	Alphaproteobacteria	Alphaproteobacteria	0.015666332	low
k141_5793858_3	Alphaproteobacteria	Alphaproteobacteria	0.015615703	low
k141_2253062_4	Alphaproteobacteria	Alphaproteobacteria	0.01552179	low
k141_7183201_3	Alphaproteobacteria	Alphaproteobacteria	0.015493634	low
k141_9066322_1	Alphaproteobacteria	Alphaproteobacteria	0.015465198	low
k141_7667643_4	Alphaproteobacteria	Alphaproteobacteria	0.015410653	low
k141_2414892_1	Alphaproteobacteria	Alphaproteobacteria	0.015286185	low
k141_6658590_1	Alphaproteobacteria	Alphaproteobacteria	0.015133807	low
k141_3652554_3	Alphaproteobacteria	Alphaproteobacteria	0.015066895	low
k141_2957068_4	Alphaproteobacteria	Alphaproteobacteria	0.014893652	low
k141_9193633_10	Alphaproteobacteria	Alphaproteobacteria	0.014877512	low
k141_3101971_2	Alphaproteobacteria	Alphaproteobacteria	0.014848459	low
k141_1459379_1	Alphaproteobacteria	Alphaproteobacteria	0.014665865	low
k141_9466718_5	Alphaproteobacteria	Alphaproteobacteria	0.014444236	low
k141_5609061_3	Alphaproteobacteria	Alphaproteobacteria	0.014066769	low
k141_9306359_2	Alphaproteobacteria	Alphaproteobacteria	0.014039273	low
k141_3115710_6	Alphaproteobacteria	Alphaproteobacteria	0.013980447	low
k141_3747912_4	Alphaproteobacteria	Alphaproteobacteria	0.013948462	low
k141_6667941_1	Alphaproteobacteria	Alphaproteobacteria	0.013747539	low
k141_5434072_2	Alphaproteobacteria	Alphaproteobacteria	0.013687175	low
k141_7004996_4	Alphaproteobacteria	Alphaproteobacteria	0.01366365	low
k141_1337998_1	Alphaproteobacteria	Alphaproteobacteria	0.013623911	low
k141_3060775_9	Alphaproteobacteria	Alphaproteobacteria	0.013509868	low
k141_8242956_4	Alphaproteobacteria	Alphaproteobacteria	0.013132152	low
k141_9023602_1	Alphaproteobacteria	Alphaproteobacteria	0.013092169	low
k141_6963014_3	Alphaproteobacteria	Alphaproteobacteria	0.013072207	low
k141_1466512_1	Alphaproteobacteria	Alphaproteobacteria	0.01305066	low
k141_5191137_1	Alphaproteobacteria	Alphaproteobacteria	0.013040539	low
k141_2585024_4	Alphaproteobacteria	Alphaproteobacteria	0.012931397	low
k141_5681422_1	Alphaproteobacteria	Alphaproteobacteria	0.012851518	low
k141_2672761_5	Alphaproteobacteria	Alphaproteobacteria	0.012841341	low
k141_5399563_2	Alphaproteobacteria	Alphaproteobacteria	0.012803776	low
k141_613834_2	Alphaproteobacteria	Alphaproteobacteria	0.012761524	low
k141_1379260_1	Alphaproteobacteria	Alphaproteobacteria	0.012692533	low
k141_6885345_3	Alphaproteobacteria	Alphaproteobacteria	0.012628479	low
k141_8700698_4	Alphaproteobacteria	Alphaproteobacteria	0.012558621	low
k141_7774980_1	Alphaproteobacteria	Alphaproteobacteria	0.012458208	low
k141_10650061_3	Alphaproteobacteria	Alphaproteobacteria	0.012442338	low
k141_6798457_1	Alphaproteobacteria	Alphaproteobacteria	0.012205988	low
k141_2368935_3	Alphaproteobacteria	Alphaproteobacteria	0.012199223	low
k141_3175761_2	Alphaproteobacteria	Alphaproteobacteria	0.012169075	low
k141_1399912_1	Alphaproteobacteria	Alphaproteobacteria	0.012068847	low
k141_489301_1	Alphaproteobacteria	Alphaproteobacteria	0.011663977	low
k141_3462115_1	Alphaproteobacteria	Alphaproteobacteria	0.01145078	low
k141_8363636_2	Alphaproteobacteria	Alphaproteobacteria	0.011386689	low
k141_8251460_3	Alphaproteobacteria	Alphaproteobacteria	0.011348689	low
k141_949110_1	Alphaproteobacteria	Alphaproteobacteria	0.011166562	low
k141_11026143_2	Alphaproteobacteria	Alphaproteobacteria	0.011123196	low
k141_3849028_2	Alphaproteobacteria	Alphaproteobacteria	0.011075147	low
k141_1859874_4	Alphaproteobacteria	Alphaproteobacteria	0.010943591	low
k141_2278434_4	Alphaproteobacteria	Alphaproteobacteria	0.010884764	low
k141_1872881_4	Alphaproteobacteria	Alphaproteobacteria	0.010854654	low
k141_4526811_4	Alphaproteobacteria	Alphaproteobacteria	0.010621049	low
k141_2417838_2	Alphaproteobacteria	Alphaproteobacteria	0.010533044	low
k141_9732626_7	Alphaproteobacteria	Alphaproteobacteria	0.010325849	low
k141_1427893_2	Alphaproteobacteria	Alphaproteobacteria	0.010231399	low
k141_5750376_1	Alphaproteobacteria	Alphaproteobacteria	0.010218502	low
k141_9692127_1	Alphaproteobacteria	Alphaproteobacteria	0.010085585	low
k141_2042928_2	Alphaproteobacteria	Alphaproteobacteria	0.009925279	low
k141_1204883_4	Alphaproteobacteria	Alphaproteobacteria	0.00989945	low
k141_9462732_4	Alphaproteobacteria	Alphaproteobacteria	0.009887861	low
k141_10666210_1	Alphaproteobacteria	Alphaproteobacteria	0.009773429	low
k141_4430756_5	Alphaproteobacteria	Alphaproteobacteria	0.009750555	low
k141_935714_1	Alphaproteobacteria	Alphaproteobacteria	0.009665732	low
k141_8318210_2	Alphaproteobacteria	Alphaproteobacteria	0.009651631	low
k141_3769960_6	Alphaproteobacteria	Alphaproteobacteria	0.009235443	low
k141_7686727_2	Alphaproteobacteria	Alphaproteobacteria	0.009221647	low
k141_3687969_7	Alphaproteobacteria	Alphaproteobacteria	0.009007128	low
k141_540824_3	Alphaproteobacteria	Alphaproteobacteria	0.008959484	low
k141_2075034_1	Alphaproteobacteria	Alphaproteobacteria	0.008902769	low
k141_2467970_3	Alphaproteobacteria	Alphaproteobacteria	0.00845612	low
k141_3454254_12	Alphaproteobacteria	Alphaproteobacteria	0.008193325	low
k141_7151018_1	Alphaproteobacteria	Alphaproteobacteria	0.007888586	low
k141_6205269_3	Alphaproteobacteria	Alphaproteobacteria	0.007852058	low
k141_3295567_2	Alphaproteobacteria	Alphaproteobacteria	0.007773209	low
k141_5722899_2	Alphaproteobacteria	Alphaproteobacteria	0.007698535	low
k141_3209364_1	Alphaproteobacteria	Alphaproteobacteria	0.007166709	low
k141_641240_1	Alphaproteobacteria	Alphaproteobacteria	0.006916036	low
k141_2301327_5	Alphaproteobacteria	Alphaproteobacteria	0.006222176	low
k141_4921561_3	Alphaproteobacteria	Alphaproteobacteria	0.006034484	low
k141_6184361_3	Alphaproteobacteria	Alphaproteobacteria	0.005762316	low
k141_1615764_2	Alphaproteobacteria	Alphaproteobacteria	0.005632302	low
k141_745355_1	Alphaproteobacteria	Alphaproteobacteria	0.005412114	low
k141_1785333_1	Alphaproteobacteria	Alphaproteobacteria	0.005092066	low
k141_8873392_3	Alphaproteobacteria	Alphaproteobacteria	0.004926792	low
k141_8939823_1	Alphaproteobacteria	Alphaproteobacteria	0.00412874	low
k141_5110455_1	Alphaproteobacteria	Alphaproteobacteria	0.002858942	low
k141_4734142_4	Armatimonadetes	other	0.012019265	low
k141_5451543_3	Armatimonadetes	other	0.00807158	low
k141_8654844_3	Armatimonadetes	other	0.004822625	low
k141_4219678_2	Armatimonadetes	other	0.004248604	low
k141_6573711_4	Armatimonadetes	other	0.003932369	low
k141_1891698_2	Bacteroidetes	Bacteroidetes	0.163563284	low
k141_6309851_1	Bacteroidetes	Bacteroidetes	0.158224095	low
k141_9364701_1	Bacteroidetes	Bacteroidetes	0.137909031	low
k141_7511131_2	Bacteroidetes	Bacteroidetes	0.125393206	low
k141_8943534_9	Bacteroidetes	Bacteroidetes	0.098198054	low
k141_2099075_6	Bacteroidetes	Bacteroidetes	0.08865045	low
k141_560641_1	Bacteroidetes	Bacteroidetes	0.086063263	low
k141_3313021_7	Bacteroidetes	Bacteroidetes	0.054783557	low
k141_3594414_2	Bacteroidetes	Bacteroidetes	0.049997719	low
k141_730184_5	Bacteroidetes	Bacteroidetes	0.046205675	low
k141_4230016_7	Bacteroidetes	Bacteroidetes	0.045660811	low
k141_1730823_3	Bacteroidetes	Bacteroidetes	0.038709071	low
k141_7981413_6	Bacteroidetes	Bacteroidetes	0.036272171	low
k141_9275681_1	Bacteroidetes	Bacteroidetes	0.036024876	low
k141_7427654_2	Bacteroidetes	Bacteroidetes	0.033864353	low
k141_9845556_6	Bacteroidetes	Bacteroidetes	0.030897	low
k141_9608357_3	Bacteroidetes	Bacteroidetes	0.029227257	low
k141_5697981_1	Bacteroidetes	Bacteroidetes	0.024351582	low
k141_3385070_5	Bacteroidetes	Bacteroidetes	0.024204585	low
k141_814862_12	Bacteroidetes	Bacteroidetes	0.023953841	low
k141_9204577_7	Bacteroidetes	Bacteroidetes	0.022709397	low
k141_542443_6	Bacteroidetes	Bacteroidetes	0.022453011	low
k141_3838510_4	Bacteroidetes	Bacteroidetes	0.020799938	low
k141_1029805_1	Bacteroidetes	Bacteroidetes	0.020538337	low
k141_9804625_2	Bacteroidetes	Bacteroidetes	0.020142616	low
k141_8244001_2	Bacteroidetes	Bacteroidetes	0.01993994	low
k141_6090810_4	Bacteroidetes	Bacteroidetes	0.018989266	low
k141_9941488_2	Bacteroidetes	Bacteroidetes	0.01841096	low
k141_5174712_6	Bacteroidetes	Bacteroidetes	0.018331599	low
k141_4979559_1	Bacteroidetes	Bacteroidetes	0.018190381	low
k141_8027738_6	Bacteroidetes	Bacteroidetes	0.018132364	low
k141_2931690_1	Bacteroidetes	Bacteroidetes	0.017570966	low
k141_3046461_2	Bacteroidetes	Bacteroidetes	0.017494092	low
k141_9096570_2	Bacteroidetes	Bacteroidetes	0.017199801	low
k141_6609304_1	Bacteroidetes	Bacteroidetes	0.017092075	low
k141_7347430_3	Bacteroidetes	Bacteroidetes	0.01701763	low
k141_6921819_2	Bacteroidetes	Bacteroidetes	0.016376193	low
k141_356770_3	Bacteroidetes	Bacteroidetes	0.016132096	low
k141_2697452_4	Bacteroidetes	Bacteroidetes	0.015574984	low
k141_3916409_2	Bacteroidetes	Bacteroidetes	0.015482341	low
k141_4887287_2	Bacteroidetes	Bacteroidetes	0.014086328	low
k141_1871456_2	Bacteroidetes	Bacteroidetes	0.012800956	low
k141_6440219_3	Bacteroidetes	Bacteroidetes	0.012405	low
k141_4228522_2	Bacteroidetes	Bacteroidetes	0.012159039	low
k141_11028539_1	Bacteroidetes	Bacteroidetes	0.012003527	low
k141_8044681_6	Bacteroidetes	Bacteroidetes	0.011554542	low
k141_9360269_1	Bacteroidetes	Bacteroidetes	0.011250311	low
k141_5892593_5	Bacteroidetes	Bacteroidetes	0.010797867	low
k141_5757459_3	Bacteroidetes	Bacteroidetes	0.010386835	low
k141_3971032_3	Bacteroidetes	Bacteroidetes	0.01035573	low
k141_8918294_7	Bacteroidetes	Bacteroidetes	0.010010443	low
k141_4548254_1	Bacteroidetes	Bacteroidetes	0.009823991	low
k141_8348712_2	Bacteroidetes	Bacteroidetes	0.00892558	low
k141_2085483_3	Bacteroidetes	Bacteroidetes	0.008386594	low
k141_3323850_2	Bacteroidetes	Bacteroidetes	0.007936343	low
k141_1274406_5	Bacteroidetes	Bacteroidetes	0.007875377	low
k141_7777453_2	Bacteroidetes	Bacteroidetes	0.00755298	low
k141_1243675_1	Bacteroidetes	Bacteroidetes	0.006761473	low
k141_5040190_2	Bacteroidetes	Bacteroidetes	0.0062453	low
k141_1586880_1	Bacteroidetes	Bacteroidetes	0.005623776	low
k141_8035628_2	Bacteroidetes	Bacteroidetes	0.005503931	low
k141_9920843_2	Bacteroidetes	Bacteroidetes	0.003359672	low
k141_6288682_1	Bacteroidetes	Bacteroidetes	0.00250765	low
k141_10665943_1	Bacteroidetes	Bacteroidetes	0.001495731	low
k141_4793599_15	Betaproteobacteria	Betaproteobacteria	0.125827261	low
k141_2115809_1	Betaproteobacteria	Betaproteobacteria	0.082695944	low
k141_4323778_4	Betaproteobacteria	Betaproteobacteria	0.079174234	low
k141_7890503_13	Betaproteobacteria	Betaproteobacteria	0.065543682	low
k141_682140_9	Betaproteobacteria	Betaproteobacteria	0.063008485	low
k141_8027729_10	Betaproteobacteria	Betaproteobacteria	0.060478479	low
k141_9042096_14	Betaproteobacteria	Betaproteobacteria	0.057796588	low
k141_3113178_1	Betaproteobacteria	Betaproteobacteria	0.056026761	low
k141_6982249_9	Betaproteobacteria	Betaproteobacteria	0.056021607	low
k141_7664097_9	Betaproteobacteria	Betaproteobacteria	0.053971578	low
k141_825017_9	Betaproteobacteria	Betaproteobacteria	0.052275213	low
k141_9605568_9	Betaproteobacteria	Betaproteobacteria	0.052217091	low
k141_4987875_15	Betaproteobacteria	Betaproteobacteria	0.051416387	low
k141_10129102_15	Betaproteobacteria	Betaproteobacteria	0.046013843	low
k141_1265638_9	Betaproteobacteria	Betaproteobacteria	0.044329246	low
k141_3222677_2	Betaproteobacteria	Betaproteobacteria	0.033990917	low
k141_1575572_7	Chloroflexi	Chloroflexi	0.20399694	low
k141_7487033_1	Chloroflexi	Chloroflexi	0.168341401	low
k141_4440442_22	Chloroflexi	Chloroflexi	0.110270637	low
k141_9661028_3	Chloroflexi	Chloroflexi	0.104374632	low
k141_317083_2	Chloroflexi	Chloroflexi	0.102663864	low
k141_9094239_1	Chloroflexi	Chloroflexi	0.094574343	low
k141_8509061_4	Chloroflexi	Chloroflexi	0.071255791	low
k141_6916746_1	Chloroflexi	Chloroflexi	0.06977544	low
k141_1826530_4	Chloroflexi	Chloroflexi	0.067869585	low
k141_5406898_4	Chloroflexi	Chloroflexi	0.064153844	low
k141_3969904_4	Chloroflexi	Chloroflexi	0.062398705	low
k141_10292437_2	Chloroflexi	Chloroflexi	0.061435108	low
k141_915833_4	Chloroflexi	Chloroflexi	0.060187437	low
k141_4098843_4	Chloroflexi	Chloroflexi	0.060056085	low
k141_5811102_1	Chloroflexi	Chloroflexi	0.059936706	low
k141_5133673_2	Chloroflexi	Chloroflexi	0.055155327	low
k141_1726479_6	Chloroflexi	Chloroflexi	0.05431638	low
k141_2377854_16	Chloroflexi	Chloroflexi	0.0539104	low
k141_2416847_2	Chloroflexi	Chloroflexi	0.05284332	low
k141_6880865_7	Chloroflexi	Chloroflexi	0.048434724	low
k141_4653618_3	Chloroflexi	Chloroflexi	0.048223978	low
k141_947705_2	Chloroflexi	Chloroflexi	0.047622716	low
k141_4191280_4	Chloroflexi	Chloroflexi	0.045785053	low
k141_3463563_6	Chloroflexi	Chloroflexi	0.040407265	low
k141_932263_3	Chloroflexi	Chloroflexi	0.040377796	low
k141_4444656_7	Chloroflexi	Chloroflexi	0.040266797	low
k141_1428689_12	Chloroflexi	Chloroflexi	0.040011105	low
k141_3172944_1	Chloroflexi	Chloroflexi	0.039626119	low
k141_1021361_9	Chloroflexi	Chloroflexi	0.039605368	low
k141_8972121_1	Chloroflexi	Chloroflexi	0.039318821	low
k141_9862857_4	Chloroflexi	Chloroflexi	0.038155493	low
k141_5651852_1	Chloroflexi	Chloroflexi	0.035734346	low
k141_3171128_1	Chloroflexi	Chloroflexi	0.034221929	low
k141_6526455_1	Chloroflexi	Chloroflexi	0.033685447	low
k141_331540_5	Chloroflexi	Chloroflexi	0.032223188	low
k141_8754761_2	Chloroflexi	Chloroflexi	0.032112266	low
k141_992910_2	Chloroflexi	Chloroflexi	0.032031512	low
k141_2238674_4	Chloroflexi	Chloroflexi	0.031444208	low
k141_4518362_1	Chloroflexi	Chloroflexi	0.031425439	low
k141_5215857_1	Chloroflexi	Chloroflexi	0.031236295	low
k141_3299079_1	Chloroflexi	Chloroflexi	0.031230945	low
k141_10474470_2	Chloroflexi	Chloroflexi	0.031071645	low
k141_8599448_2	Chloroflexi	Chloroflexi	0.030033234	low
k141_922196_6	Chloroflexi	Chloroflexi	0.028814522	low
k141_9057948_2	Chloroflexi	Chloroflexi	0.028808946	low
k141_3972889_11	Chloroflexi	Chloroflexi	0.028493192	low
k141_4195695_3	Chloroflexi	Chloroflexi	0.02812255	low
k141_386125_2	Chloroflexi	Chloroflexi	0.027938847	low
k141_11230153_4	Chloroflexi	Chloroflexi	0.027740264	low
k141_4154755_1	Chloroflexi	Chloroflexi	0.02772447	low
k141_10060706_14	Chloroflexi	Chloroflexi	0.027379457	low
k141_6556203_4	Chloroflexi	Chloroflexi	0.027268753	low
k141_5773255_2	Chloroflexi	Chloroflexi	0.027231727	low
k141_133888_3	Chloroflexi	Chloroflexi	0.026985049	low
k141_6615850_2	Chloroflexi	Chloroflexi	0.026273251	low
k141_460808_2	Chloroflexi	Chloroflexi	0.026117772	low
k141_6239408_1	Chloroflexi	Chloroflexi	0.025935593	low
k141_1971902_2	Chloroflexi	Chloroflexi	0.025298041	low
k141_2007604_12	Chloroflexi	Chloroflexi	0.025179483	low
k141_4957486_4	Chloroflexi	Chloroflexi	0.024962263	low
k141_4390424_2	Chloroflexi	Chloroflexi	0.024677192	low
k141_7368844_2	Chloroflexi	Chloroflexi	0.024211384	low
k141_8232118_2	Chloroflexi	Chloroflexi	0.024195678	low
k141_998148_1	Chloroflexi	Chloroflexi	0.024090895	low
k141_4297303_3	Chloroflexi	Chloroflexi	0.024024411	low
k141_1130366_14	Chloroflexi	Chloroflexi	0.023653262	low
k141_5969701_1	Chloroflexi	Chloroflexi	0.023406021	low
k141_8507287_8	Chloroflexi	Chloroflexi	0.023301721	low
k141_4996344_7	Chloroflexi	Chloroflexi	0.023251798	low
k141_9767402_4	Chloroflexi	Chloroflexi	0.023228417	low
k141_7203597_2	Chloroflexi	Chloroflexi	0.022956027	low
k141_2908495_4	Chloroflexi	Chloroflexi	0.022944456	low
k141_1440703_9	Chloroflexi	Chloroflexi	0.022225446	low
k141_8940024_1	Chloroflexi	Chloroflexi	0.021742566	low
k141_912241_3	Chloroflexi	Chloroflexi	0.0213948	low
k141_9476670_8	Chloroflexi	Chloroflexi	0.020230338	low
k141_6965066_4	Chloroflexi	Chloroflexi	0.019788541	low
k141_3347905_1	Chloroflexi	Chloroflexi	0.019440239	low
k141_2299815_6	Chloroflexi	Chloroflexi	0.019268094	low
k141_7763601_4	Chloroflexi	Chloroflexi	0.019111842	low
k141_9801665_2	Chloroflexi	Chloroflexi	0.01910199	low
k141_6519152_1	Chloroflexi	Chloroflexi	0.019063088	low
k141_4206176_4	Chloroflexi	Chloroflexi	0.018742143	low
k141_10811490_3	Chloroflexi	Chloroflexi	0.018588254	low
k141_5295167_3	Chloroflexi	Chloroflexi	0.018493406	low
k141_7267358_2	Chloroflexi	Chloroflexi	0.0182988	low
k141_8105937_5	Chloroflexi	Chloroflexi	0.018294195	low
k141_4643686_2	Chloroflexi	Chloroflexi	0.01812283	low
k141_2453139_1	Chloroflexi	Chloroflexi	0.017701185	low
k141_10472939_6	Chloroflexi	Chloroflexi	0.017590742	low
k141_3827344_2	Chloroflexi	Chloroflexi	0.017495942	low
k141_361319_1	Chloroflexi	Chloroflexi	0.017391868	low
k141_7051259_4	Chloroflexi	Chloroflexi	0.017360989	low
k141_4514537_1	Chloroflexi	Chloroflexi	0.017098699	low
k141_627935_1	Chloroflexi	Chloroflexi	0.016704946	low
k141_3686563_2	Chloroflexi	Chloroflexi	0.016342181	low
k141_1605883_3	Chloroflexi	Chloroflexi	0.016090141	low
k141_2352802_6	Chloroflexi	Chloroflexi	0.015938047	low
k141_1015218_2	Chloroflexi	Chloroflexi	0.015895778	low
k141_8613754_1	Chloroflexi	Chloroflexi	0.015666247	low
k141_2215185_2	Chloroflexi	Chloroflexi	0.015576918	low
k141_8640342_4	Chloroflexi	Chloroflexi	0.015491735	low
k141_4493999_3	Chloroflexi	Chloroflexi	0.01546679	low
k141_6730141_4	Chloroflexi	Chloroflexi	0.015464347	low
k141_10523762_1	Chloroflexi	Chloroflexi	0.01543986	low
k141_6980148_1	Chloroflexi	Chloroflexi	0.015240022	low
k141_10481651_3	Chloroflexi	Chloroflexi	0.01514713	low
k141_634890_4	Chloroflexi	Chloroflexi	0.015025974	low
k141_473875_4	Chloroflexi	Chloroflexi	0.015023421	low
k141_1789224_3	Chloroflexi	Chloroflexi	0.014944522	low
k141_9638976_1	Chloroflexi	Chloroflexi	0.01487981	low
k141_9158677_1	Chloroflexi	Chloroflexi	0.014833354	low
k141_683797_2	Chloroflexi	Chloroflexi	0.014740891	low
k141_2158307_3	Chloroflexi	Chloroflexi	0.014706071	low
k141_1530988_2	Chloroflexi	Chloroflexi	0.01470113	low
k141_5583851_1	Chloroflexi	Chloroflexi	0.014675944	low
k141_5199512_2	Chloroflexi	Chloroflexi	0.014563849	low
k141_2312427_2	Chloroflexi	Chloroflexi	0.014523674	low
k141_4022692_9	Chloroflexi	Chloroflexi	0.014479976	low
k141_9088965_2	Chloroflexi	Chloroflexi	0.014447905	low
k141_5999752_1	Chloroflexi	Chloroflexi	0.014444407	low
k141_8112734_3	Chloroflexi	Chloroflexi	0.014336777	low
k141_606345_20	Chloroflexi	Chloroflexi	0.014192957	low
k141_3644272_2	Chloroflexi	Chloroflexi	0.014146242	low
k141_4892741_2	Chloroflexi	Chloroflexi	0.014110581	low
k141_8057660_2	Chloroflexi	Chloroflexi	0.014082938	low
k141_2440155_1	Chloroflexi	Chloroflexi	0.014053203	low
k141_5550869_3	Chloroflexi	Chloroflexi	0.013989897	low
k141_5710197_5	Chloroflexi	Chloroflexi	0.013674227	low
k141_267791_2	Chloroflexi	Chloroflexi	0.013658264	low
k141_6086919_4	Chloroflexi	Chloroflexi	0.013604592	low
k141_8658198_1	Chloroflexi	Chloroflexi	0.01354591	low
k141_9778830_4	Chloroflexi	Chloroflexi	0.013505388	low
k141_433710_1	Chloroflexi	Chloroflexi	0.01345816	low
k141_426260_1	Chloroflexi	Chloroflexi	0.013446572	low
k141_7482781_1	Chloroflexi	Chloroflexi	0.013420259	low
k141_1900339_1	Chloroflexi	Chloroflexi	0.013367863	low
k141_2688998_3	Chloroflexi	Chloroflexi	0.013358919	low
k141_9649793_1	Chloroflexi	Chloroflexi	0.01309019	low
k141_9263252_2	Chloroflexi	Chloroflexi	0.012792669	low
k141_7359016_4	Chloroflexi	Chloroflexi	0.012739463	low
k141_7135581_4	Chloroflexi	Chloroflexi	0.01262892	low
k141_1312411_4	Chloroflexi	Chloroflexi	0.012437591	low
k141_8498676_4	Chloroflexi	Chloroflexi	0.012417296	low
k141_5330300_4	Chloroflexi	Chloroflexi	0.012325964	low
k141_296076_1	Chloroflexi	Chloroflexi	0.012286688	low
k141_2844588_4	Chloroflexi	Chloroflexi	0.012247527	low
k141_4137822_1	Chloroflexi	Chloroflexi	0.01212108	low
k141_1837575_1	Chloroflexi	Chloroflexi	0.012107394	low
k141_3377334_1	Chloroflexi	Chloroflexi	0.012046195	low
k141_9564289_1	Chloroflexi	Chloroflexi	0.012003843	low
k141_2818301_1	Chloroflexi	Chloroflexi	0.011876561	low
k141_9691980_2	Chloroflexi	Chloroflexi	0.011873552	low
k141_2554525_1	Chloroflexi	Chloroflexi	0.011733836	low
k141_1429129_1	Chloroflexi	Chloroflexi	0.01167078	low
k141_2840079_1	Chloroflexi	Chloroflexi	0.011520193	low
k141_762706_2	Chloroflexi	Chloroflexi	0.011414778	low
k141_1787196_1	Chloroflexi	Chloroflexi	0.011312326	low
k141_5033475_3	Chloroflexi	Chloroflexi	0.011297945	low
k141_2328819_1	Chloroflexi	Chloroflexi	0.011287446	low
k141_6875594_5	Chloroflexi	Chloroflexi	0.011280542	low
k141_2000502_1	Chloroflexi	Chloroflexi	0.011247809	low
k141_4352016_6	Chloroflexi	Chloroflexi	0.011070487	low
k141_853046_1	Chloroflexi	Chloroflexi	0.010952806	low
k141_923095_1	Chloroflexi	Chloroflexi	0.010931182	low
k141_3922743_2	Chloroflexi	Chloroflexi	0.010829353	low
k141_1452385_3	Chloroflexi	Chloroflexi	0.010787951	low
k141_4179581_4	Chloroflexi	Chloroflexi	0.010755016	low
k141_9782069_3	Chloroflexi	Chloroflexi	0.010692551	low
k141_3366540_2	Chloroflexi	Chloroflexi	0.010643181	low
k141_10347015_4	Chloroflexi	Chloroflexi	0.010592161	low
k141_8871641_4	Chloroflexi	Chloroflexi	0.010589957	low
k141_4831724_2	Chloroflexi	Chloroflexi	0.010542202	low
k141_10090621_3	Chloroflexi	Chloroflexi	0.010500894	low
k141_3491038_1	Chloroflexi	Chloroflexi	0.010488748	low
k141_3267290_3	Chloroflexi	Chloroflexi	0.010485412	low
k141_7289133_1	Chloroflexi	Chloroflexi	0.01046255	low
k141_299116_1	Chloroflexi	Chloroflexi	0.010361749	low
k141_5866152_5	Chloroflexi	Chloroflexi	0.010350179	low
k141_1450243_1	Chloroflexi	Chloroflexi	0.010338204	low
k141_106583_3	Chloroflexi	Chloroflexi	0.010317441	low
k141_1441889_5	Chloroflexi	Chloroflexi	0.010289343	low
k141_10049916_2	Chloroflexi	Chloroflexi	0.010281434	low
k141_4544402_5	Chloroflexi	Chloroflexi	0.010208171	low
k141_5105546_3	Chloroflexi	Chloroflexi	0.010116345	low
k141_407447_2	Chloroflexi	Chloroflexi	0.010076632	low
