bin	phylum	dsrK	soxXA	soxB	soxC	soxD	fccAB	sat	sir	dsrC/dsrMK	amo-pmo	aprAB	tsdA/tsdB	qmoABC	narGHI/napAB	norBC	dsrEFH/dsrL	nxrAB	URE	cysJI	nosZ	nirA	narB/nasAB	nirK/nirS	nirBD/nrfA	TtrAB	soxZY	nifH	dsrAB	sseA	hao	glpE	phsA	soeAC
KW1-S15_16	Proteobacteria	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	5	0	0
KW1-S11_81	Proteobacteria	0	1	0	0	0	1	1	0	0	0	1	2	0	0	0	0	0	0	1	0	0	1	1	1	1	0	0	0	0	0	5	0	0
KW1-S08_30	Chloroflexota	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	2	1	1	1	0	0	0	0	1	0	3	0	0
KW1-S08_198	Proteobacteria	0	3	0	1	1	2	0	0	0	0	3	3	0	0	0	0	0	0	2	0	1	2	2	2	0	0	0	0	3	0	9	0	0
KW1-S21_160	Acidobacteriota	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	3	0	0
KW1-S08_192	Desulfobacterota_B	0	0	1	1	0	0	1	0	0	0	2	0	0	4	0	0	0	0	0	0	1	2	1	3	2	0	0	0	2	0	7	0	0
A5-S03_29	Proteobacteria	0	0	0	1	1	1	2	1	0	0	6	0	2	2	0	0	0	0	4	0	0	1	3	0	0	0	0	0	1	0	9	0	0
KW1-S08_208	Thermoproteota	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	1
KW1-S11_99	Proteobacteria	0	0	0	0	2	0	0	0	0	0	1	0	0	3	0	0	0	0	1	0	0	1	2	1	1	0	0	0	0	0	4	0	1
KW1-S05_108	Chloroflexota	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	4	2	1	0	0	0	0	1	0	3	0	0
KW1-S08_200	Planctomycetota	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0
KW1-S11_18	Proteobacteria	0	0	0	1	0	0	1	0	0	0	6	0	0	0	0	0	0	0	1	0	2	4	3	1	1	0	0	0	1	0	7	0	2
KW1-S15_162	Actinobacteriota	0	0	0	1	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	7	0	0
A5-S04_155	Proteobacteria	0	0	0	0	1	0	0	1	0	0	2	0	0	0	0	0	0	0	2	0	0	2	2	2	1	0	0	0	1	0	5	0	0
KW1-S11_15	SAR324	0	0	0	0	0	0	0	0	0	0	6	0	0	2	0	0	0	0	1	0	1	2	0	0	2	0	1	0	2	0	11	0	0
KW1-S21_32	Gemmatimonadota	0	0	1	2	1	0	0	0	0	0	1	0	0	2	0	0	0	0	1	0	0	1	3	0	2	0	0	0	2	0	8	1	0
